world_cup_year,team_name,elo_rating,elo_rank,elo_1yr_change_rating,win_ratio,goals_ratio,count_matches
1994,Argentina,1927,8,-101,0.5130434782608696,1.9043478260869566,4
1994,Spain,1913,9,82,0.5013192612137203,1.83377308707124,5
1994,Mexico,1891,10,104,0.5116822429906542,1.9228971962616823,4
1994,Sweden,1883,12,-20,0.49575070821529743,2.237960339943343,7
1994,Norway,1854,15,96,0.3145009416195857,1.5386064030131827,3
1994,Switzerland,1847,16,29,0.30127041742286753,1.441016333938294,4
1994,Russia,1842,18,-43,0.5405405405405406,1.804054054054054,3
1994,Romania,1827,21,2,0.4103139013452915,1.6300448430493273,5
1994,Belgium,1827,21,-48,0.39587242026266417,1.7711069418386491,4
1994,Bulgaria,1789,24,-15,0.3616557734204793,1.4880174291938997,7
1994,Greece,1740,28,63,0.2964169381107492,1.247557003257329,3
1994,Bolivia,1706,30,155,0.23557692307692307,1.0913461538461537,3
1994,Nigeria,1705,31,21,0.43543543543543545,1.5375375375375375,4
1994,Saudi Arabia,1680,34,69,0.4594594594594595,1.5637065637065637,4
1994,Morocco,1672,35,76,0.4408284023668639,1.4230769230769231,3
1994,South Korea,1660,39,0,0.6,1.9945454545454546,3
1994,Cameroon,1649,42,-13,0.4387755102040816,1.6020408163265305,3
1994,United States,1620,53,-67,0.30633802816901406,1.221830985915493,4
1998,Brazil,2177,1,111,0.6267071320182094,2.1972685887708647,7
1998,Germany,2071,2,-11,0.5707831325301205,2.2379518072289155,5
1998,Spain,2042,3,15,0.5095238095238095,1.8452380952380953,3
1998,France,2013,4,-4,0.4229390681003584,1.7652329749103943,7
1998,England,2002,5,45,0.5854858548585485,2.4858548585485853,4
1998,Italy,1976,6,1,0.5350089766606823,1.8312387791741471,5
1998,Yugoslavia,1974,7,39,0.48736462093862815,2.0974729241877257,4
1998,Netherlands,1941,8,-21,0.4720720720720721,2.097297297297297,7
1998,Denmark,1931,9,-40,0.45408163265306123,1.933673469387755,5
1998,Romania,1885,10,27,0.42362525458248473,1.6680244399185336,4
1998,Croatia,1867,14,-21,0.5147058823529411,2,7
1998,Norway,1859,15,4,0.3304498269896194,1.5432525951557095,4
1998,Argentina,1831,17,34,0.5108108108108108,1.8918918918918919,5
1998,Bulgaria,1822,19,-7,0.372,1.51,3
1998,Belgium,1799,20,42,0.4010600706713781,1.773851590106007,3
1998,Scotland,1791,21,-21,0.5024711696869851,1.9159802306425042,3
1998,Mexico,1788,22,-6,0.4940239043824701,1.8804780876494025,4
1998,Colombia,1768,23,-113,0.33774834437086093,1.1887417218543046,3
1998,South Korea,1761,24,178,0.586709886547812,1.9983792544570502,3
1998,Japan,1758,25,13,0.4222222222222222,1.7259259259259259,3
1998,Chile,1751,28,11,0.3528225806451613,1.4556451612903225,4
1998,Austria,1749,29,18,0.4312393887945671,1.9083191850594228,3
1998,Paraguay,1748,30,-64,0.37250554323725055,1.394678492239468,4
1998,Morocco,1745,31,72,0.45,1.4578947368421054,3
1998,United States,1720,34,12,0.31932773109243695,1.2492997198879552,3
1998,Nigeria,1701,38,-59,0.431266846361186,1.5121293800539084,4
1998,Iran,1688,40,9,0.5368421052631579,1.880701754385965,3
1998,South Africa,1681,41,-86,0.45454545454545453,1.7373737373737375,3
1998,Tunisia,1673,44,36,0.3813131313131313,1.345959595959596,3
1998,Saudi Arabia,1641,48,5,0.4668587896253602,1.5619596541786744,3
1998,Jamaica,1629,50,62,0.3685897435897436,1.2692307692307692,3
1998,Cameroon,1561,63,-24,0.4190751445086705,1.5404624277456647,3
2002,France,2112,1,2,0.44642857142857145,1.7824675324675325,3
2002,Argentina,2021,2,19,0.5203045685279187,1.8946700507614214,3
2002,Italy,2017,3,1,0.5366666666666666,1.805,4
2002,Portugal,2010,4,-8,0.4289405684754522,1.5348837209302326,3
2002,Spain,1967,6,5,0.5205183585313174,1.9049676025917928,5
2002,England,1932,7,80,0.578088578088578,2.4347319347319347,5
2002,Sweden,1895,8,67,0.49876543209876545,2.1333333333333333,4
2002,Croatia,1886,9,-2,0.48672566371681414,1.831858407079646,3
2002,Germany,1869,11,-13,0.5676429567642957,2.213389121338912,7
2002,Japan,1860,13,63,0.4217391304347826,1.7065217391304348,4
2002,Denmark,1848,14,71,0.449685534591195,1.8946540880503144,4
2002,Russia,1839,15,4,0.5415094339622641,1.818867924528302,3
2002,Belgium,1835,16,49,0.3993453355155483,1.7610474631751227,4
2002,Brazil,1832,18,-190,0.6205479452054794,2.184931506849315,7
2002,Mexico,1808,22,-17,0.49155405405405406,1.8462837837837838,4
2002,South Korea,1807,23,42,0.5728862973760933,1.944606413994169,7
2002,Turkey,1797,24,43,0.328,1.272,7
2002,Uruguay,1787,25,33,0.43036211699164345,1.583565459610028,3
2002,Costa Rica,1773,26,167,0.5048309178743962,2.072463768115942,3
2002,Slovenia,1760,27,97,0.3493975903614458,1.3493975903614457,3
2002,United States,1752,30,-56,0.3397129186602871,1.263157894736842,5
2002,Poland,1750,31,-10,0.413290113452188,1.7098865478119936,3
2002,Ecuador,1734,32,44,0.2459546925566343,1.1197411003236246,3
2002,China,1726,35,40,0.5343680709534369,2.11529933481153,3
2002,Paraguay,1724,37,-140,0.37254901960784315,1.384313725490196,4
2002,Nigeria,1723,38,18,0.4396135265700483,1.5193236714975846,3
2002,Cameroon,1716,39,-7,0.42930591259640105,1.5295629820051413,3
2002,Saudi Arabia,1697,41,5,0.48,1.616470588235294,3
2002,Tunisia,1689,43,42,0.3995584988962472,1.4150110375275937,3
2002,South Africa,1632,51,-43,0.453416149068323,1.5527950310559007,3
2002,Senegal,1587,58,128,0.39416058394160586,1.2530413625304135,5
2006,Brazil,2028,1,55,0.6180904522613065,2.1846733668341707,5
2006,Netherlands,1994,2,54,0.48073959938366717,2.083204930662558,4
2006,France,1974,3,-12,0.46038863976083705,1.796711509715994,7
2006,England,1964,5,-13,0.5766262403528115,2.3991179713340682,5
2006,Spain,1958,6,-8,0.529296875,1.912109375,4
2006,Italy,1941,7,32,0.536923076923077,1.7815384615384615,7
2006,Argentina,1932,8,-96,0.5237529691211401,1.8871733966745843,5
2006,Portugal,1909,9,6,0.4429223744292237,1.595890410958904,7
2006,Sweden,1903,10,31,0.4930715935334873,2.123556581986143,4
2006,Germany,1893,11,10,0.564993564993565,2.2072072072072073,7
2006,Croatia,1863,13,25,0.48427672955974843,1.7044025157232705,3
2006,Poland,1847,15,45,0.42857142857142855,1.7261904761904763,3
2006,United States,1840,17,11,0.3790983606557377,1.3319672131147542,3
2006,Mexico,1834,18,-52,0.49849397590361444,1.8478915662650603,4
2006,Japan,1812,21,-34,0.4369114877589454,1.6836158192090396,3
2006,Iran,1797,23,-2,0.5447941888619855,1.9249394673123488,3
2006,Serbia and Montenegro,1791,24,19,0.4750778816199377,2.0077881619937696,3
2006,Switzerland,1780,25,88,0.31390134529147984,1.4319880418535127,4
2006,Paraguay,1777,26,4,0.3738819320214669,1.3667262969588552,3
2006,Ukraine,1775,27,34,0.3706896551724138,1.1379310344827587,5
2006,Australia,1768,28,-41,0.5150753768844221,2.208542713567839,4
2006,Costa Rica,1732,34,43,0.4927536231884058,1.9855072463768115,3
2006,Tunisia,1716,38,92,0.4007936507936508,1.4007936507936507,3
2006,Ecuador,1714,40,48,0.2677595628415301,1.1202185792349726,4
2006,Ivory Coast,1697,43,35,0.48333333333333334,1.5642857142857143,3
2006,South Korea,1688,44,-25,0.5573122529644269,1.9077733860342556,3
2006,Saudi Arabia,1608,56,38,0.4969939879759519,1.6452905811623246,3
2006,Ghana,1605,57,121,0.49510763209393344,1.6810176125244618,4
2006,Togo,1588,62,80,0.32601880877742945,1.1222570532915361,3
2006,Trinidad and Tobago,1578,66,69,0.4602649006622517,1.7384105960264902,3
2006,Angola,1547,70,7,0.39473684210526316,1.236842105263158,3
2010,Brazil,2103,1,86,0.6241217798594848,2.1756440281030445,5
2010,Spain,2095,2,-6,0.5596491228070175,1.936842105263158,7
2010,Netherlands,2032,3,4,0.49358059914407987,2.055634807417974,7
2010,England,1985,4,-2,0.5796645702306079,2.3878406708595388,4
2010,Germany,1962,5,-4,0.5731414868105515,2.225419664268585,7
2010,Italy,1957,6,-48,0.5383522727272727,1.7642045454545454,3
2010,Argentina,1896,7,-77,0.5252525252525253,1.8742985409652075,5
2010,France,1891,8,-2,0.4696132596685083,1.770718232044199,3
2010,Mexico,1891,8,57,0.5047619047619047,1.8408163265306123,4
2010,Chile,1880,11,81,0.358695652173913,1.3975155279503106,4
2010,Portugal,1874,12,53,0.45510204081632655,1.6081632653061224,4
2010,Serbia,1833,14,59,0.4752186588921283,1.9825072886297377,3
2010,Uruguay,1813,15,-18,0.4275184275184275,1.5773955773955775,7
2010,Denmark,1810,16,-18,0.4585635359116022,1.867403314917127,3
2010,United States,1803,17,-3,0.40394973070017953,1.385996409335727,4
2010,Switzerland,1793,18,0,0.32492997198879553,1.438375350140056,3
2010,Australia,1789,19,32,0.5134529147982063,2.116591928251121,3
2010,Japan,1789,19,14,0.44908180300500833,1.7028380634390652,4
2010,Greece,1783,22,10,0.36213991769547327,1.294238683127572,3
2010,Cameroon,1774,25,27,0.4470338983050847,1.521186440677966,3
2010,Ivory Coast,1762,28,52,0.4884210526315789,1.6063157894736841,3
2010,Paraguay,1760,29,-94,0.3698854337152209,1.3355155482815058,5
2010,South Korea,1749,32,26,0.5481120584652862,1.8623629719853836,4
2010,Nigeria,1749,32,8,0.45956607495069035,1.495069033530572,3
2010,Honduras,1746,36,21,0.4318181818181818,1.5977272727272727,3
2010,Ghana,1687,42,-6,0.49557522123893805,1.6619469026548672,5
2010,Slovenia,1675,45,93,0.3375,1.2125,3
2010,Slovakia,1664,48,34,0.385,1.48,4
2010,Algeria,1584,63,141,0.4057971014492754,1.3871635610766047,3
2010,North Korea,1555,73,30,0.44366197183098594,1.6690140845070423,3
2010,New Zealand,1527,83,3,0.41846153846153844,1.84,3
2010,South Africa,1521,84,-13,0.4377104377104377,1.3636363636363635,3
2014,Brazil,2132,1,72,0.6269146608315098,2.1794310722100656,7
2014,Spain,2104,2,-46,0.5791139240506329,1.9683544303797469,3
2014,Germany,2086,3,34,0.5797752808988764,2.246067415730337,7
2014,Argentina,2020,4,6,0.5310853530031612,1.8840885142255006,7
2014,Netherlands,2004,5,7,0.5053050397877984,2.080901856763926,7
2014,England,1933,6,-19,0.579,2.366,3
2014,Colombia,1933,6,32,0.376984126984127,1.2281746031746033,5
2014,Portugal,1931,8,27,0.4619666048237477,1.6382189239332097,3
2014,Uruguay,1919,9,63,0.432183908045977,1.5988505747126436,4
2014,Chile,1914,10,112,0.3732193732193732,1.4188034188034189,4
2014,Italy,1907,11,-4,0.5270092226613966,1.743083003952569,3
2014,France,1881,12,-8,0.47036082474226804,1.7435567010309279,5
2014,United States,1862,13,91,0.4176,1.4096,4
2014,Switzerland,1852,14,21,0.33200531208499334,1.4329349269588314,4
2014,Russia,1845,15,-42,0.5275229357798165,1.7675840978593271,3
2014,Greece,1841,16,16,0.3771106941838649,1.2833020637898687,4
2014,Ecuador,1836,17,-13,0.28354978354978355,1.1601731601731602,3
2014,Belgium,1835,18,49,0.4010989010989011,1.7046703296703296,5
2014,Croatia,1806,21,-74,0.5219123505976095,1.7250996015936255,3
2014,Mexico,1797,22,-119,0.5080346106304079,1.8281829419035847,4
2014,Bosnia and Herzegovina,1783,23,37,0.38125,1.45,3
2014,Ivory Coast,1779,24,-59,0.5046904315196998,1.6341463414634145,3
2014,Japan,1764,25,-55,0.45481927710843373,1.6927710843373494,3
2014,Costa Rica,1735,29,67,0.47145187601957583,1.8564437194127243,5
2014,Iran,1730,30,74,0.5485074626865671,1.8712686567164178,3
2014,Australia,1729,31,-45,0.5149700598802395,2.0818363273453095,3
2014,Nigeria,1729,31,77,0.4595070422535211,1.5088028169014085,4
2014,Ghana,1704,38,26,0.4960127591706539,1.6475279106858054,3
2014,South Korea,1685,43,-77,0.5448354143019296,1.8467650397275823,3
2014,Honduras,1685,43,3,0.4181459566074951,1.5384615384615385,3
2014,Cameroon,1594,58,9,0.43907156673114117,1.493230174081238,3
2014,Algeria,1586,61,23,0.41064638783269963,1.3688212927756653,4
2018,Brazil,2113,1,26,0.6308169596690796,2.1737331954498447,5
2018,Germany,2109,2,71,0.5839493136219641,2.252375923970433,3
2018,Spain,2032,3,52,0.5855457227138643,1.9867256637168142,4
2018,Portugal,1994,4,63,0.47892074198988194,1.6711635750421585,4
2018,France,1989,5,-20,0.4837153196622437,1.764776839565742,7
2018,Argentina,1984,6,-61,0.5348605577689243,1.8824701195219125,4
2018,England,1933,7,4,0.5797516714422158,2.3371537726838585,7
2018,Belgium,1927,8,22,0.42010309278350516,1.7551546391752577,7
2018,Colombia,1926,9,-3,0.3891891891891892,1.2576576576576577,4
2018,Peru,1881,12,47,0.32247557003257327,1.254071661237785,3
2018,Uruguay,1866,13,-48,0.4351145038167939,1.5932388222464557,5
2018,Switzerland,1866,13,9,0.34673366834170855,1.4522613065326633,4
2018,Croatia,1856,16,-30,0.5304054054054054,1.7533783783783783,7
2018,Mexico,1848,17,-63,0.5135135135135135,1.8108108108108107,4
2018,Poland,1842,18,-9,0.43256379100850545,1.7071688942891858,3
2018,Denmark,1841,19,125,0.45533498759305213,1.8312655086848635,4
2018,Sweden,1825,20,57,0.49167482859941236,2.0313418217433887,5
2018,Iceland,1811,21,46,0.3129411764705882,1.1952941176470588,3
2018,Iran,1800,22,26,0.5532646048109966,1.865979381443299,3
2018,Serbia,1770,23,44,0.4681404421326398,1.9128738621586476,3
2018,South Korea,1760,25,-28,0.5452609158679447,1.8264110756123535,3
2018,Senegal,1751,27,78,0.4224137931034483,1.3224137931034483,3
2018,Costa Rica,1745,31,-109,0.465288035450517,1.7991137370753323,3
2018,Australia,1727,35,18,0.5081967213114754,2.0546448087431695,3
2018,Japan,1706,42,-47,0.46443514644351463,1.7280334728033473,4
2018,Nigeria,1699,43,30,0.4570957095709571,1.4983498349834983,3
2018,Russia,1698,44,7,0.5185714285714286,1.752857142857143,5
2018,Morocco,1691,45,89,0.46481178396072015,1.4549918166939444,3
2018,Panama,1671,48,-18,0.31446540880503143,1.2033542976939204,3
2018,Egypt,1658,50,-12,0.5052631578947369,1.769736842105263,3
2018,Tunisia,1623,53,32,0.4083850931677019,1.4177018633540373,3
2018,Saudi Arabia,1567,68,-10,0.4897959183673469,1.6122448979591837,3
2022,Brazil,2149,1,13,0.6355599214145383,2.1640471512770136,5
2022,France,2114,2,22,0.4965986394557823,1.7879818594104309,7
2022,Argentina,2101,3,110,0.5370722433460076,1.8773764258555132,7
2022,Belgium,2075,4,-36,0.4420289855072464,1.8128019323671498,3
2022,Spain,2037,5,-13,0.5837912087912088,2.0054945054945055,4
2022,England,2032,6,70,0.5849227974568574,2.3415077202543144,5
2022,Portugal,1973,8,-66,0.48442367601246106,1.7009345794392523,5
2022,Germany,1963,9,7,0.5814889336016097,2.2575452716297786,3
2022,Denmark,1937,10,10,0.46261682242990654,1.841121495327103,3
2022,Switzerland,1934,11,63,0.35308056872037913,1.481042654028436,4
2022,Netherlands,1929,12,-65,0.5106382978723404,2.07565011820331,5
2022,United States,1860,14,114,0.44223107569721115,1.4887118193891102,4
2022,Croatia,1858,15,-2,0.521613832853026,1.7463976945244957,7
2022,Ecuador,1849,16,23,0.29927007299270075,1.2226277372262773,3
2022,Uruguay,1847,17,-106,0.4376299376299376,1.5862785862785862,3
2022,Serbia,1847,17,58,0.4692874692874693,1.904176904176904,3
2022,Mexico,1840,19,-91,0.5189473684210526,1.8042105263157895,3
2022,Iran,1836,20,73,0.5627009646302251,1.8890675241157557,3
2022,Wales,1836,20,7,0.32075471698113206,1.2423802612481858,3
2022,South Korea,1787,28,15,0.5455465587044535,1.811740890688259,4
2022,Canada,1785,29,184,0.3811764705882353,1.2635294117647058,3
2022,Poland,1770,30,-43,0.43383199079401613,1.713463751438435,4
2022,Morocco,1766,31,83,0.47560975609756095,1.4740853658536586,7
2022,Japan,1760,33,16,0.4753246753246753,1.7545454545454546,4
2022,Australia,1733,34,21,0.5120689655172413,2.056896551724138,4
2022,Senegal,1705,42,-53,0.4358974358974359,1.3381410256410255,4
2022,Qatar,1663,49,24,0.41518578352180935,1.432956381260097,3
2022,Tunisia,1640,53,22,0.418705035971223,1.4230215827338129,3
2022,Saudi Arabia,1628,56,73,0.4864864864864865,1.5945945945945945,3
2022,Costa Rica,1618,59,-5,0.45179063360881544,1.7396694214876034,3
2022,Cameroon,1609,61,3,0.4368770764119601,1.4501661129568106,3
2022,Ghana,1604,62,-3,0.4908062234794908,1.6195190947666196,3
